Symbol,Name
A,Agilent Technologies Inc. Common Stock
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I
ABB,ABB Ltd Common Stock
ABBV,AbbVie Inc. Common Stock
ABC,AmerisourceBergen Corporation Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABT,Abbott Laboratories Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ADM,Archer-Daniels-Midland Company Common Stock
AEE,Ameren Corporation Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AES,The AES Corporation Common Stock
AFL,AFLAC Incorporated Common Stock
AGR,Avangrid Inc. Common Stock
AI,C3.ai Inc. Class A Common Stock
AIRC,Apartment Income REIT Corp. Common Stock
AJG,Arthur J. Gallagher & Co. Common Stock
ALB,Albemarle Corporation Common Stock
ALC,Alcon Inc. Ordinary Shares
ALL,Allstate Corporation (The) Common Stock
ALLE,Allegion plc Ordinary Shares
ALLY,Ally Financial Inc. Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
AMP,Ameriprise Financial Inc. Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
ANET,Arista Networks Inc. Common Stock
ANTM,Anthem Inc. Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
APD,Air Products and Chemicals Inc. Common Stock
APH,Amphenol Corporation Common Stock
APO,Apollo Global Management Inc. Class A Common Stock
APTV,Aptiv PLC Ordinary Shares
AQN,Algonquin Power & Utilities Corp. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATO,Atmos Energy Corporation Common Stock
ATUS,Altice USA Inc. Class A Common Stock
AVB,AvalonBay Communities Inc. Common Stock
AVLR,Avalara Inc. Common Stock
AVTR,Avantor Inc. Common Stock
AVY,Avery Dennison Corporation Common Stock
AWK,American Water Works Company Inc. Common Stock
AXP,American Express Company Common Stock
AZO,AutoZone Inc. Common Stock
BA,Boeing Company (The) Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,Bank of America Corporation Common Stock
BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAM,Brookfield Asset Management Inc. Common Stock
BAP,Credicorp Ltd. Common Stock
BAX,Baxter International Inc. Common Stock
BBD,Banco Bradesco Sa American Depositary Shares
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BBL,BHP Group PlcSponsored ADR
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BBY,Best Buy Co. Inc. Common Stock
BCE,BCE Inc. Common Stock
BCH,Banco De Chile Banco De Chile ADS
BCS,Barclays PLC Common Stock
BDX,Becton Dickinson and Company Common Stock
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BEN,Franklin Resources Inc. Common Stock
BEP,Brookfield Renewable Partners L.P. 
BFAM,Bright Horizons Family Solutions Inc. Common Stock
BG,Bunge Limited Bunge Limited
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BILL,Bill.com Holdings Inc. Common Stock
BIO,Bio-Rad Laboratories Inc. Class A Common Stock
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
BK,The Bank of New York Mellon Corporation Common Stock
BKI,Black Knight Inc. Common Stock 
BKR,Baker Hughes Company Class A Common Stock
BLK,BlackRock Inc. Common Stock
BLL,Ball Corporation Common Stock
BMO,Bank Of Montreal Common Stock
BMY,Bristol-Myers Squibb Company Common Stock
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares
BP,BP p.l.c. Common Stock
BR,Broadridge Financial Solutions Inc.Common Stock
BRO,Brown & Brown Inc. Common Stock
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit
BSX,Boston Scientific Corporation Common Stock
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
BURL,Burlington Stores Inc. Common Stock
BWA,BorgWarner Inc. Common Stock
BX,The Blackstone Group Inc. Class A Common Stock
BXP,Boston Properties Inc. Common Stock
C,Citigroup Inc. Common Stock
CABO,Cable One Inc. Common Stock
CAG,ConAgra Brands Inc. Common Stock
CAH,Cardinal Health Inc. Common Stock
CAJ,Canon Inc. American Depositary Shares
CARR,Carrier Global Corporation Common Stock 
CAT,Caterpillar Inc. Common Stock
CB,Chubb Limited  Common Stock
CBRE,CBRE Group Inc Common Stock Class A
CCEP,Coca-Cola European Partners plc Ordinary Shares
CCI,Crown Castle International Corp. (REIT) Common Stock
CCK,Crown Holdings Inc.
CCL,Carnival Corporation Common Stock
CDAY,Ceridian HCM Holding Inc. Common Stock
