Date,Open,High,Low,Close,Adj Close,Volume
1983-12-30,9.777778,9.888889,9.666667,9.777778,2.275140,211500
1984-01-03,9.763889,9.833333,9.694444,9.777778,2.275140,385650
1984-01-04,9.965278,10.194444,9.833333,10.194444,2.372092,292500
1984-01-05,10.402778,10.527778,10.277778,10.527778,2.449653,344250
1984-01-06,10.416667,10.527778,10.305556,10.416667,2.423800,194400
1984-01-09,10.444444,10.527778,10.361111,10.444444,2.430263,216450
1984-01-10,10.597222,10.722222,10.472222,10.638889,2.475506,143100
1984-01-11,10.638889,10.888889,10.527778,10.861111,2.527216,397800
1984-01-12,10.861111,11.027778,10.805556,10.972222,2.553068,297900
1984-01-13,11.083333,11.166667,11.000000,11.027778,2.565996,591300
1984-01-16,10.972222,11.027778,10.916667,10.916667,2.540142,103950
1984-01-17,10.916667,10.916667,10.666667,10.722222,2.494898,134100
1984-01-18,10.875000,11.000000,10.750000,10.972222,2.553068,1352700
1984-01-19,10.972222,11.027778,10.916667,10.972222,2.553068,245250
1984-01-20,10.972222,10.972222,10.833333,10.888889,2.533679,168300
1984-01-23,10.986111,11.055556,10.916667,11.027778,2.565996,246150
1984-01-24,11.097222,11.166667,11.027778,11.166667,2.598313,292500
1984-01-25,11.319444,11.388889,11.250000,11.277778,2.624167,243000
1984-01-26,11.277778,11.305556,11.138889,11.166667,2.598313,212400
1984-01-27,11.166667,11.166667,11.027778,11.111111,2.585387,183150
1984-01-30,11.055556,11.083333,11.027778,11.055556,2.572460,99900
1984-01-31,11.055556,11.388889,11.055556,11.222222,2.611240,352350
1984-02-01,11.222222,11.333333,11.027778,11.055556,2.572460,225450
1984-02-02,11.055556,11.083333,10.972222,10.972222,2.553068,230850
1984-02-03,11.111111,11.222222,11.000000,11.055556,2.572460,319950
1984-02-06,10.875000,11.027778,10.722222,10.805556,2.514289,67500
1984-02-07,10.666667,10.750000,10.583333,10.666667,2.481972,212400
1984-02-08,10.666667,10.861111,10.583333,10.722222,2.494898,395100
1984-02-09,10.722222,10.777778,10.611111,10.666667,2.481972,196650
1984-02-10,10.666667,10.805556,10.666667,10.805556,2.514289,232650
1984-02-13,10.805556,10.888889,10.777778,10.777778,2.507824,324000
1984-02-14,10.777778,11.000000,10.750000,11.000000,2.559532,135000
1984-02-15,11.000000,11.222222,10.944444,11.166667,2.598313,543600
1984-02-16,11.166667,11.416667,11.111111,11.333333,2.637094,362250
1984-02-17,11.333333,11.361111,11.138889,11.138889,2.591851,654300
1984-02-21,11.138889,11.194444,11.027778,11.027778,2.565996,108000
1984-02-22,11.027778,11.083333,10.722222,10.722222,2.494898,197550
1984-02-23,10.722222,10.750000,10.472222,10.611111,2.469043,466200
1984-02-24,10.611111,10.722222,10.555556,10.666667,2.481972,66600
1984-02-27,10.666667,10.805556,10.472222,10.805556,2.514289,613350
1984-02-28,10.708333,10.777778,10.583333,10.666667,2.481972,294300
1984-02-29,10.666667,10.861111,10.638889,10.722222,2.494898,210150
1984-03-01,10.611111,10.666667,10.555556,10.611111,2.469043,273600
1984-03-02,10.611111,11.000000,10.611111,10.888889,2.533679,205650
1984-03-05,10.888889,10.944444,10.666667,10.722222,2.494898,532800
1984-03-06,10.722222,10.777778,10.611111,10.611111,2.469043,218250
1984-03-07,10.611111,10.611111,10.444444,10.444444,2.430263,150750
1984-03-08,10.444444,10.611111,10.444444,10.611111,2.469043,121050
1984-03-09,10.388889,10.444444,10.333333,10.333333,2.449815,382050
1984-03-12,10.333333,10.416667,10.055556,10.055556,2.383960,427500
1984-03-13,10.180556,10.277778,10.083333,10.250000,2.430059,280350
1984-03-14,10.125000,10.222222,10.027778,10.111111,2.397132,328050
1984-03-15,10.111111,10.250000,10.055556,10.222222,2.423473,358650
1984-03-16,10.555556,10.666667,10.444444,10.527778,2.495913,230850
1984-03-19,10.375000,10.500000,10.250000,10.361111,2.456400,196200
1984-03-20,10.444444,10.555556,10.333333,10.555556,2.502499,227700
1984-03-21,10.555556,10.666667,10.555556,10.666667,2.528841,90450
1984-03-22,10.666667,10.750000,10.555556,10.555556,2.502499,125550
1984-03-23,10.555556,10.638889,10.472222,10.472222,2.482742,51300
1984-03-26,10.472222,10.527778,10.416667,10.472222,2.482742,75600
1984-03-27,10.472222,10.500000,10.361111,10.444444,2.476156,527850
1984-03-28,10.444444,10.500000,10.416667,10.444444,2.476156,97650
1984-03-29,10.444444,10.500000,10.333333,10.333333,2.449815,125100
1984-03-30,10.333333,10.333333,10.083333,10.083333,2.390544,207900
1984-04-02,10.166667,10.250000,10.083333,10.083333,2.390544,253350
1984-04-03,10.083333,10.194444,9.888889,9.888889,2.344448,105750
1984-04-04,9.888889,9.972222,9.833333,9.833333,2.331277,281700
1984-04-05,9.833333,9.888889,9.638889,9.638889,2.285177,290250
1984-04-06,9.638889,9.638889,9.500000,9.527778,2.258835,65700
1984-04-09,9.527778,9.611111,9.388889,9.472222,2.245664,215550
1984-04-10,9.555556,9.611111,9.500000,9.500000,2.252248,58050
1984-04-11,9.555556,9.583333,9.527778,9.583333,2.272005,86850
1984-04-12,9.583333,9.972222,9.416667,9.972222,2.364203,373050
1984-04-13,9.972222,10.055556,9.972222,9.972222,2.364203,136350
1984-04-16,9.833333,9.958333,9.750000,9.875000,2.341154,75900
1984-04-17,9.875000,10.083333,9.875000,10.000000,2.370788,137100
1984-04-18,10.000000,10.083333,9.958333,9.958333,2.360910,55800
1984-04-19,9.958333,10.083333,9.958333,10.000000,2.370788,111900
1984-04-23,10.000000,10.000000,9.750000,10.000000,2.370788,73500
1984-04-24,10.000000,10.250000,10.000000,10.125000,2.400422,186000
1984-04-25,10.291667,10.416667,10.166667,10.333333,2.449815,184200
1984-04-26,10.333333,10.500000,10.208333,10.416667,2.469570,203400
1984-04-27,10.416667,10.625000,10.333333,10.500000,2.489328,206700
1984-04-30,10.500000,10.583333,10.416667,10.541667,2.499205,88800
1984-05-01,10.541667,10.708333,10.500000,10.708333,2.538719,225000
1984-05-02,11.020833,11.083333,10.958333,10.958333,2.597988,138000
1984-05-03,10.958333,11.083333,10.875000,10.958333,2.597988,111900
1984-05-04,10.958333,10.958333,10.708333,10.750000,2.548598,102300
1984-05-07,10.750000,10.916667,10.750000,10.750000,2.548598,47700
1984-05-08,10.916667,11.000000,10.833333,10.875000,2.578231,331200
1984-05-09,10.875000,10.875000,10.333333,10.416667,2.469570,290100
1984-05-10,10.416667,10.541667,10.333333,10.416667,2.469570,282900
1984-05-11,10.187500,10.333333,9.833333,9.916667,2.351032,273000
1984-05-14,9.812500,9.875000,9.750000,9.791667,2.321396,241200
1984-05-15,9.791667,10.041667,9.791667,10.000000,2.370788,248400
1984-05-16,10.000000,10.000000,9.875000,9.958333,2.360910,114000
1984-05-17,9.958333,10.000000,9.791667,9.833333,2.331277,188100
1984-05-18,9.833333,10.000000,9.833333,9.958333,2.360910,62700
1984-05-21,9.958333,9.958333,9.791667,9.791667,2.321396,622500
1984-05-22,9.625000,9.708333,9.166667,9.416667,2.232492,105600
1984-05-23,9.416667,9.541667,9.125000,9.125000,2.163344,221100
1984-05-24,9.291667,9.750000,9.166667,9.208333,2.183101,4020000
1984-05-25,9.208333,9.333333,9.041667,9.166667,2.173222,230100
1984-05-29,9.166667,9.208333,8.666667,8.833333,2.094197,217500
1984-05-30,8.333333,8.750000,8.250000,8.375000,1.985536,1063200
1984-05-31,8.375000,8.416667,7.833333,8.041667,1.906509,388800
1984-06-01,8.041667,8.125000,7.833333,8.000000,1.896631,741000
1984-06-04,8.333333,8.666667,8.166667,8.458333,2.005291,584700
1984-06-05,8.458333,8.541667,8.250000,8.375000,1.985536,5370300
1984-06-06,8.375000,8.541667,8.375000,8.541667,2.025049,365700
1984-06-07,8.541667,8.583333,8.458333,8.541667,2.025049,904800
1984-06-08,8.583333,8.666667,8.500000,8.666667,2.054684,708000
1984-06-11,8.458333,8.458333,8.166667,8.250000,2.001314,198900
1984-06-12,8.166667,8.166667,7.916667,8.166667,1.981100,691500
1984-06-13,8.208333,8.291667,8.083333,8.125000,1.970992,424500
1984-06-14,8.083333,8.083333,7.833333,7.958333,1.930561,614700
1984-06-15,8.000000,8.125000,7.916667,8.000000,1.940670,358500
1984-06-18,8.083333,8.416667,8.000000,8.416667,2.041746,235200
1984-06-19,8.416667,8.583333,8.375000,8.541667,2.072069,170700
1984-06-20,8.458333,8.833333,8.375000,8.833333,2.142822,340200
1984-06-21,8.833333,9.083333,8.750000,9.000000,2.183253,424800
1984-06-22,8.916667,8.916667,8.750000,8.791667,2.132715,179100
1984-06-25,8.708333,8.875000,8.666667,8.708333,2.112499,123900
1984-06-26,8.625000,8.625000,8.541667,8.583333,2.082176,346800
1984-06-27,8.500000,8.583333,8.375000,8.416667,2.041746,100500
1984-06-28,8.416667,8.416667,8.166667,8.291667,2.011423,195900
1984-06-29,7.958333,8.125000,7.833333,8.000000,1.940670,724500
1984-07-02,8.000000,8.208333,7.916667,8.125000,1.970992,532500
1984-07-03,8.208333,8.500000,8.208333,8.416667,2.041746,528000
1984-07-05,8.416667,8.541667,8.416667,8.541667,2.072069,87900
1984-07-06,8.458333,8.500000,8.375000,8.416667,2.041746,112200
1984-07-09,8.375000,8.833333,8.375000,8.833333,2.142822,159600
1984-07-10,8.791667,8.916667,8.666667,8.791667,2.132715,237600
1984-07-11,8.750000,8.791667,8.666667,8.708333,2.112499,354300
1984-07-12,8.708333,8.708333,8.458333,8.583333,2.082176,106200
1984-07-13,8.583333,8.666667,8.500000,8.666667,2.102392,125400
1984-07-16,8.625000,8.666667,8.541667,8.625000,2.092283,63000
1984-07-17,8.708333,9.041667,8.666667,9.000000,2.183253,283500
1984-07-18,9.000000,9.083333,8.750000,8.750000,2.122608,225000
1984-07-19,8.750000,8.750000,8.291667,8.375000,2.031637,287400
1984-07-20,8.375000,8.583333,8.250000,8.291667,2.011423,327900
1984-07-23,8.250000,8.333333,8.166667,8.291667,2.011423,260400
1984-07-24,8.250000,8.250000,8.041667,8.208333,1.991208,647700
1984-07-25,8.125000,8.291667,8.125000,8.250000,2.001314,726300
1984-07-26,8.250000,8.541667,8.250000,8.541667,2.072069,90000
1984-07-27,8.583333,9.125000,8.541667,9.125000,2.213576,325800
1984-07-30,8.916667,9.000000,8.791667,8.833333,2.142822,153300
1984-07-31,8.833333,8.875000,8.750000,8.833333,2.142822,151200
1984-08-01,8.666667,9.083333,8.541667,8.958333,2.173145,428100
1984-08-02,8.916667,9.083333,8.833333,9.083333,2.203468,1133400
1984-08-03,9.166667,9.416667,9.125000,9.291667,2.254007,1203000
1984-08-06,9.500000,9.541667,9.291667,9.375000,2.274221,896100
1984-08-07,9.375000,9.458333,9.291667,9.333333,2.264114,264300
1984-08-08,9.333333,9.458333,9.291667,9.291667,2.254007,267000
1984-08-09,9.375000,9.583333,9.291667,9.583333,2.324759,1067400
1984-08-10,10.000000,10.083333,9.666667,9.833333,2.385407,783000
1984-08-13,9.833333,9.833333,9.666667,9.750000,2.365191,80100
1984-08-14,9.791667,9.791667,9.500000,9.625000,2.334867,211800
1984-08-15,9.583333,9.583333,9.166667,9.250000,2.243900,151500
1984-08-16,9.166667,9.583333,9.125000,9.458333,2.294436,372900
1984-08-17,9.500000,9.541667,9.458333,9.500000,2.304544,173700
1984-08-20,9.500000,9.500000,9.375000,9.500000,2.304544,170700
1984-08-21,9.416667,9.708333,9.333333,9.666667,2.344975,668700
1984-08-22,9.750000,9.750000,9.500000,9.708333,2.355083,356100
1984-08-23,9.708333,9.791667,9.625000,9.708333,2.355083,328200
1984-08-24,9.666667,9.708333,9.500000,9.625000,2.334867,141900
1984-08-27,9.625000,9.625000,9.375000,9.541667,2.314651,141300
1984-08-28,9.541667,9.666667,9.500000,9.541667,2.314651,166500
1984-08-29,9.583333,9.583333,9.458333,9.500000,2.304544,258600
1984-08-30,9.416667,9.416667,9.291667,9.333333,2.264114,118500
1984-08-31,9.166667,9.250000,9.041667,9.166667,2.223683,140700
1984-09-04,9.250000,9.250000,9.041667,9.125000,2.213576,1391700
1984-09-05,9.125000,9.166667,9.000000,9.083333,2.203468,203400
1984-09-06,9.083333,9.250000,9.041667,9.250000,2.243900,499200
