Date,Open,High,Low,Close,Adj Close,Volume
2020-06-23,7.776000,8.176000,7.704000,8.104000,8.104000,5736640
2020-06-24,8.100000,8.190000,7.522000,7.522000,7.522000,5164070
2020-06-25,7.470000,7.792000,7.340000,7.750000,7.750000,6312395
2020-06-26,7.820000,7.882000,7.418000,7.418000,7.418000,4592755
2020-06-29,7.416000,7.846000,7.358000,7.744000,7.744000,5180835
2020-06-30,7.776000,7.860000,7.520000,7.666000,7.666000,4967843
2020-07-01,7.680000,7.836000,7.550000,7.652000,7.652000,4334288
2020-07-02,7.782000,8.130000,7.710000,8.006000,8.006000,6311808
2020-07-03,8.050000,8.066000,7.788000,7.960000,7.960000,2906433
2020-07-06,8.190000,8.534000,8.180000,8.396000,8.396000,7942806
2020-07-07,8.420000,8.442000,8.212000,8.236000,8.236000,3956533
2020-07-08,8.146000,8.204000,8.002000,8.004000,8.004000,3483299
2020-07-09,8.100000,8.176000,7.772000,7.798000,7.798000,3688666
2020-07-10,7.700000,8.106000,7.650000,8.082000,8.082000,3483662
2020-07-13,8.324000,8.368000,8.072000,8.150000,8.150000,3798609
2020-07-14,8.020000,8.314000,8.006000,8.210000,8.210000,4821580
2020-07-15,8.320000,8.414000,8.050000,8.348000,8.348000,4520672
2020-07-16,8.308000,8.490000,8.236000,8.452000,8.452000,3866405
2020-07-17,8.450000,8.480000,8.256000,8.396000,8.396000,3911783
2020-07-20,null,null,null,null,null,null # on purpose error
2020-07-21,8.328000,8.614000,8.206000,8.222000,8.222000,7042218
2020-07-22,8.250000,8.302000,7.866000,7.940000,7.940000,5067962
2020-07-23,8.020000,8.020000,7.804000,7.810000,7.810000,3119294
2020-07-24,7.720000,7.800000,7.640000,7.694000,7.694000,4762761
2020-07-27,7.630000,7.698000,7.494000,7.536000,7.536000,2910868
2020-07-28,7.530000,7.626000,7.344000,7.464000,7.464000,3464337
2020-07-29,7.470000,7.490000,7.250000,7.314000,7.314000,3813649
2020-07-30,7.300000,7.320000,6.950000,7.052000,7.052000,5182932
2020-07-31,7.078000,7.240000,7.024000,7.024000,7.024000,4293890
